article,question,question_chars,question_words
╨º╤é╨╛ ╤é╨░╨║╨╛╨╡ ╨₧╨ñ╨ù,Что такое облигации федерального займа (ОФЗ)?,45,6
╨º╤é╨╛ ╤é╨░╨║╨╛╨╡ ╨₧╨ñ╨ù,Какие виды ОФЗ существуют?,26,4
╨º╤é╨╛ ╤é╨░╨║╨╛╨╡ ╨₧╨ñ╨ù,Какая доходность у ОФЗ?,23,4
╨º╤é╨╛ ╤é╨░╨║╨╛╨╡ ╨₧╨ñ╨ù,Как купить ОФЗ?,15,3
╨º╤é╨╛ ╤é╨░╨║╨╛╨╡ ╨₧╨ñ╨ù,Какие риски существуют при инвестировании в ОФЗ?,48,7
╨ó╨╡╤Ç╨╝╨╕╨╜╨░╨╗ ╨óΓüá-Γüá╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╨╕╠å,**Что такое терминал Т⁠-⁠Инвестиций и зачем он нужен?**,55,8
╨ó╨╡╤Ç╨╝╨╕╨╜╨░╨╗ ╨óΓüá-Γüá╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╨╕╠å,**Как скачать терминал Т⁠-⁠Инвестиций на компьютер?**,53,6
╨ó╨╡╤Ç╨╝╨╕╨╜╨░╨╗ ╨óΓüá-Γüá╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╨╕╠å,**Как выглядит верхняя панель терминала и какие функции она выполняет?**,72,10
╨ó╨╡╤Ç╨╝╨╕╨╜╨░╨╗ ╨óΓüá-Γüá╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╨╕╠å,**Как в терминале выбрать активы для биржевой торговли и настроить уведомления об изменении цены актива?**,106,15
╨ó╨╡╤Ç╨╝╨╕╨╜╨░╨╗ ╨óΓüá-Γüá╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╨╕╠å,,0,0
